"X","Gender","Race","Current.Age","TDCJ.Offense","Sentenced.Years","Sentence.Date","Year.of.Sentence","Sentenced.Age"
415,"M","W",59,"AGG ROBBERY",50,"7/23/2003",2003,39
416,"M","H",61,"MURDER",85,"12/9/1985",1985,23
417,"M","B",60,"AGG ROBBERY",40,"8/6/1997",1997,34
418,"M","B",60,"MURDER",90,"7/16/1984",1984,21
419,"M","H",65,"MURDER",30,"3/28/2013",2013,55
420,"M","B",61,"MURDER",76,"10/4/2001",2001,39
421,"M","B",59,"AGG ROBBERY",35,"2/18/2003",2003,39
422,"M","H",63,"MURDER",50,"5/15/1997",1997,37
423,"M","B",65,"AGG ROBBERY",35,"9/14/1999",1999,41
424,"M","W",61,"MURDER",40,"6/16/2021",2021,59
425,"M","W",60,"MURDER",15,"2/8/2011",2011,48
426,"M","H",61,"AGG ROBBERY",10,"11/14/2019",2019,57
427,"M","H",59,"AGG ROBBERY",25,"4/24/2014",2014,50
428,"M","B",59,"MURDER",60,"7/9/1999",1999,35
429,"M","H",58,"AGG ROBBERY",75,"9/9/1985",1985,20
430,"M","H",60,"AGG ROBBERY",40,"10/20/2006",2006,43
431,"M","B",61,"MURDER",15,"6/15/2018",2018,56
432,"M","B",61,"MURDER",28,"1/22/2016",2016,54
